Names,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious Cases,Total tests,Population
Algeria,272010,,6881.0,,183061.0,,82068.0,,230960.0,45350148.0
Nigeria,267188,,3155.0,,259953.0,,4080.0,11.0,5708974.0,216746934.0
Zimbabwe,266328,,5737.0,,258888.0,,1703.0,12.0,2525756.0,15331428.0
Uzbekistan,253662,,1637.0,,241486.0,,10539.0,23.0,1377915.0,34382084.0
Mozambique,233731,,2250.0,,228805.0,,2676.0,11.0,1371127.0,33089461.0
Afghanistan,231975,,7985.0,,210069.0,,13921.0,,1363981.0,40754388.0
Martinique,230354,,1102.0,,,,,,828928.0,374087.0
Laos,218950,,758.0,,,,,,1233207.0,7481023.0
Iceland,209889,,229.0,,,,,,1996384.0,345393.0
Kyrgyzstan,206897,,2991.0,,196406.0,,7500.0,131.0,1907195.0,6728271.0
Guadeloupe,203235,,1021.0,,,,,,938039.0,399794.0
El Salvador,201855,,4230.0,,179410.0,,18215.0,,2610114.0,6550389.0
Trinidad and Tobago,191496,,4390.0,,187078.0,,28.0,,913289.0,1406585.0
Maldives,186694,,316.0,,163687.0,,22691.0,25.0,2213831.0,540985.0
Namibia,172280,,4103.0,,167099.0,,1078.0,,1062663.0,2633874.0
Uganda,171983,,3632.0,,100431.0,,67920.0,,3012408.0,48432863.0
Ghana,171889,,1462.0,,170425.0,,2.0,,2541625.0,32395450.0
Jamaica,156857,,3748.0,,,,,,1183986.0,2985094.0
Cambodia,139095,,3056.0,,136037.0,,2.0,,3091420.0,17168639.0
Rwanda,133518,,1468.0,,132039.0,,11.0,,6021981.0,13600464.0
Cameroon,125379,,1974.0,,123280.0,,125.0,,1751774.0,27911548.0
Malta,121410,,885.0,,120133.0,,392.0,,2168789.0,444033.0
Barbados,110575,,648.0,,108647.0,,1280.0,,814159.0,288023.0
Angola,107323,,1937.0,,103419.0,,1967.0,,1499795.0,35027343.0
Channel Islands,101717,,228.0,,101321.0,,168.0,,1252808.0,176463.0
DRC,99338,,1468.0,,84489.0,,13381.0,,846704.0,95240792.0
French Guiana,98041,,420.0,,11254.0,,86367.0,6.0,651257.0,314169.0
Malawi,89535,,2686.0,,,,,,624784.0,20180839.0
Senegal,89053,,1971.0,,87024.0,,58.0,,1146543.0,17653671.0
Ivory Coast,88384,,835.0,,87497.0,,52.0,,1690934.0,27742298.0
Suriname,82588,,1408.0,,,,,,242207.0,596831.0
New Caledonia,80064,,314.0,,,,,,98964.0,290915.0
French Polynesia,79254,,650.0,,,,,,,284164.0
Eswatini,75191,,1427.0,,73116.0,,648.0,,1048704.0,1184817.0
Guyana,74137,,1300.0,,72013.0,,824.0,,733218.0,794045.0
Belize,71381,,688.0,,,,,,576016.0,412190.0
Fiji,69117,,885.0,,67226.0,,1006.0,,672883.0,909466.0
Madagascar,68486,,1426.0,,66862.0,,198.0,,531329.0,29178077.0
Cabo Verde,64477,,417.0,,63755.0,,305.0,23.0,401622.0,567678.0
Sudan,63993,,5046.0,,58947.0,,0.0,,562941.0,45992020.0
Mauritania,63839,,997.0,,62471.0,,371.0,,1009957.0,4901981.0
Bhutan,62697,,21.0,,61564.0,,1112.0,,2303734.0,787941.0
Syria,57743,,3165.0,,54578.0,,0.0,,146269.0,19364809.0
Burundi,54721,,38.0,,53569.0,,1114.0,,345742.0,12624840.0
Seychelles,51220,,172.0,,51048.0,,0.0,,,99426.0
Gabon,49051,,307.0,,48674.0,,70.0,,1621909.0,2331533.0
Andorra,48015,,165.0,,,,,,249838.0,77463.0
Papua New Guinea,46864,,670.0,,46168.0,,26.0,,249149.0,9292169.0
Curaçao,45986,,295.0,,44720.0,,971.0,3.0,496693.0,165529.0
Aruba,44224,,292.0,,42438.0,,1494.0,2.0,177885.0,107609.0
Tanzania,43223,,846.0,,,,,,,63298550.0
Mauritius,43025,,1051.0,,41278.0,,696.0,,358675.0,1274727.0
Mayotte,42027,,188.0,,,,,,176919.0,286259.0
Togo,39569,,290.0,,39277.0,,2.0,,815088.0,8680837.0
Guinea,38572,,468.0,,37757.0,,347.0,,660107.0,13865691.0
Bahamas,38084,,844.0,,36366.0,,874.0,1.0,257839.0,400516.0
Isle of Man,38008,,116.0,,,,,,150753.0,85732.0
Lesotho,36138,,723.0,,25980.0,,9435.0,,431221.0,2175699.0
Haiti,34667,,860.0,,33734.0,,73.0,,132422.0,11680283.0
Faeroe Islands,34658,,28.0,,,,,,778000.0,49233.0
Mali,33164,,743.0,,32332.0,,89.0,,804909.0,21473764.0
Cayman Islands,31472,,37.0,,8553.0,,22882.0,1.0,222773.0,67277.0
Saint Lucia,30215,,410.0,,29805.0,,0.0,,210983.0,185113.0
Benin,28036,,163.0,,27847.0,,26.0,,604310.0,12784726.0
Somalia,27334,,1361.0,,13182.0,,12791.0,,400466.0,16841795.0
Micronesia,26547,,65.0,,,,,,82430.0,117489.0
San Marino,26185,,128.0,,26011.0,,46.0,,196855.0,34085.0
Solomon Islands,25954,,199.0,,,,,,,721159.0
Congo,25375,,386.0,,24006.0,,983.0,,347815.0,5797805.0
Macao,23803,,123.0,,3487.0,,20193.0,,7850.0,667490.0
Timor-Leste,23460,,138.0,,23102.0,,220.0,,278529.0,1369429.0
Burkina Faso,22109,,400.0,,21596.0,,113.0,,248995.0,22102838.0
Liechtenstein,21573,,94.0,,,,,,112457.0,38387.0
Gibraltar,20550,,113.0,,,,,,534283.0,33704.0
Grenada,19693,,238.0,,19358.0,,97.0,4.0,182981.0,113475.0
Bermuda,18860,,165.0,,18685.0,,10.0,,1029558.0,61939.0
South Sudan,18819,,147.0,,18115.0,,557.0,1.0,410280.0,11618511.0
Nicaragua,18491,,225.0,,4225.0,,14041.0,,,6779100.0
Tajikistan,17786,,125.0,,17264.0,,397.0,,,9957464.0
Equatorial Guinea,17229,,183.0,,16907.0,,139.0,5.0,365697.0,1496662.0
Monaco,17181,,67.0,,,,,,78646.0,39783.0
Samoa,17006,,31.0,,1605.0,,15370.0,,187397.0,202239.0
Tonga,16950,,13.0,,15638.0,,1299.0,,535009.0,107749.0
Marshall Islands,16138,,17.0,,16121.0,,0.0,,,60057.0
Dominica,16038,,74.0,,15964.0,,0.0,,229344.0,72344.0
Djibouti,15690,,189.0,,15427.0,,74.0,,305941.0,1016097.0
CAR,15440,,113.0,,15200.0,,127.0,2.0,81294.0,5016678.0
Gambia,12626,,372.0,,12189.0,,65.0,,155686.0,2558482.0
Saint Martin,12324,,63.0,,,,,,112382.0,39730.0
Vanuatu,12019,,14.0,,11976.0,,29.0,,24976.0,321832.0
Greenland,11971,,21.0,,2761.0,,9189.0,4.0,164926.0,56973.0
Yemen,11945,,2159.0,,9124.0,,662.0,,329592.0,31154867.0
Caribbean Netherlands,11682,,38.0,,10476.0,,1168.0,,30126.0,26647.0
Sint Maarten,11051,,92.0,,10905.0,,54.0,,62056.0,43966.0
Eritrea,10189,,103.0,,10086.0,,0.0,,23693.0,3662244.0
Niger,9931,,312.0,,8890.0,,729.0,1.0,254538.0,26083660.0
St. Vincent Grenadines,9674,,124.0,,9493.0,,57.0,,114197.0,111551.0
Guinea-Bissau,9614,,177.0,,8929.0,,508.0,6.0,145231.0,2063367.0
Comoros,9109,,161.0,,8939.0,,9.0,,,907419.0
Antigua and Barbuda,9106,,146.0,,8954.0,,6.0,,18901.0,99509.0
Liberia,8090,,295.0,,7783.0,,12.0,2.0,139824.0,5305117.0
Sierra Leone,7779,,126.0,,,,,,259958.0,8306436.0
Chad,7701,,194.0,,4874.0,,2633.0,,191341.0,17413580.0
British Virgin Islands,7392,,64.0,,,,,,107339.0,30596.0
Cook Islands,7203,,2.0,,7150.0,,51.0,,19690.0,17571.0
Sao Tome and Principe,6752,,80.0,,6672.0,,0.0,,29600.0,227679.0
Turks and Caicos,6749,,40.0,,6693.0,,16.0,4.0,616698.0,39741.0
Saint Kitts and Nevis,6607,,48.0,,6559.0,,0.0,,126958.0,53871.0
Palau,6279,,10.0,,6268.0,,1.0,,71280.0,18233.0
St. Barth,5507,,6.0,,,,,,78646.0,9945.0
Nauru,5393,,1.0,,5347.0,,45.0,,20509.0,10903.0
Kiribati,5085,,24.0,,2703.0,,2358.0,3.0,,123419.0
Anguilla,3904,,12.0,,,,,,51382.0,15230.0
Wallis and Futuna,3550,,8.0,,438.0,,3104.0,,20508.0,10982.0
Saint Pierre Miquelon,3452,,2.0,,2449.0,,1001.0,,25400.0,5759.0
Tuvalu,2943,,1.0,,,,,,,12066.0
Saint Helena,2166,,,,2.0,,2164.0,,,6115.0
Falkland Islands,1930,,,,1930.0,,0.0,,8632.0,3539.0
Montserrat,1403,,8.0,,1376.0,,19.0,,17762.0,4965.0
Niue,1059,,,,1056.0,,3.0,,,1622.0
Diamond Princess,712,,13.0,,699.0,,0.0,,,
Tokelau,80,,,,,,80.0,,,1378.0
Vatican City,29,,,,29.0,,0.0,,,799.0
Western Sahara,10,,1.0,,9.0,,0.0,,,626161.0
MS Zaandam,9,,2.0,,7.0,,0.0,,,
China,503302,,5272.0,,379053.0,,118977.0,,160000000.0,1448471400.0
